full_text,ner
 جسر اللنبي ساعه فاتح الاحد,O B-LOC O STAT O
 حوارة والحاجز,B-LOC O
حوارة والحاجز سالكة,B-LOC O STAT
 جيش عالناقورة تفتيش,B-ORG O STAT
 تفتيش شافي شمرونللداخل نابلس,STAT B-LOC O O
شباب قلنديا أزمة سالكة,O B-LOC STAT STAT
 شافي شمرون فتح ومرقو السيارات,B-LOC I-LOC STAT O O
شو وضع مفرق الرام برضو ازمة سالكة,O O O B-LOC O STAT STAT
 دوار الرام جيش مواجهات,Barr B-LOC B-ORG O
 حوارة سالك الان,B-LOC STAT O
 حوار سالكه,B-LOC STAT
صره شباب؟؟ سالك,B-LOC O STAT
 شافي شمرون حاجز تفتيش,B-LOC I-LOC Barr STAT
 الكونتينر مسكر,B-LOC STAT
 حاجز حوارة سالك ونظيف,Barr B-LOC STAT STAT
 حزما ازمة,B-LOC STAT
 بيت ايل سالك,B-LOC I-LOC STAT
 هتسار سالكة,O STAT
 مراحب حاجز حلميش,O Barr O
مراحب حاجز حلميش سالك,O Barr O STAT
 دوار جبع حزما ازمه,Barr B-LOC B-LOC STAT
 حاجز وبوابة جيت صرة نابلس سالك بالاتجاهين حاليا,Barr O B-LOC B-LOC O STAT O O
 ازمة خانقة جيت,STAT O B-LOC
دوار جبع حزما ازمه للداخل طالع,Barr B-LOC B-LOC STAT O O
 الكونتينر للداخل بيت لحم سالك,B-LOC O B-LOC O STAT
 سالكة,STAT
شو وضع قلنديا؟ أزمة خفيفة سالكة,O O B-LOC STAT O STAT
 خط تل المربعة سالك ونظيف,O B-LOC B-LOC STAT STAT
 زعترة سالك,B-LOC STAT
 جنين رام الله سالك,O O O STAT
 حوارة سالكة,B-LOC STAT
 داخل قدس زعيم ازمه خفيفه,O O O STAT O
 زعترة سالك للي طالع رام الله,B-LOC STAT O O O O
 حوارة سالك,B-LOC STAT
 داخل عيزريه سالكه,O O STAT
 عصيره سالكه,O STAT
 طريق دير ابزيع كفر نعمة مغلق قي مواجهات,Barr B-LOC O O O STAT O O
 كونتينر طالع بيت لحمً سالك,B-LOC O B-LOC O STAT
 حاجز صرة,Barr B-LOC
 شباب حاجز حواره وحواره,O Barr B-LOC O
شباب حاجز حواره وحواره ربع ساعه سالك,O Barr B-LOC O I-LOC O STAT
 حاجز دير شرف,Barr B-LOC I-LOC
 وحاجز صرة,Barr B-LOC
 حاجز حواره نظيف وسالك,Barr B-LOC STAT STAT
مسا الخير جنين رام الله سالكة؟ تسهار حوارة؟ سالك,O O O O O STAT B-LOC B-LOC STAT
 صره ازمه,B-LOC STAT
 بسبب حاجز,O Barr
 الحاجز بمشي يبدو,Barr O O
وضع طريق قلقيلية نابلس حاجز صرة,O Barr O O Barr B-LOC
 موجود حاجز صرة حالياً بمرق سيارة سيارة ازمة,O Barr B-LOC O O O O STAT
 حاجز وازمة صرة للخارجين,Barr STAT B-LOC O
 جيت صرة نابلس سالك بالاتجاهين حاليا الجنود طلعو المعسكر,B-LOC B-LOC O STAT O O O O O
 شرطه الساويه حادث سير,B-ORG O O O
 حادث سير مدخل الساوية,O O O O
حادث سير مدخل الساوية مسكره يعني,O O O O STAT O
طريق شافي شامرون سالكه جهة طولكرم جمين بعرفش,Barr B-LOC I-LOC STAT O O B-LOC O
شباب حواره فاتحه ؟ فاتحه صحيح,O B-LOC STAT O STAT O
