id,message,reply_to

64,حاجز حوارة مسكر,

65,شباب مسا الخير,

66,كيف حاجز دير شرف,

67,زاطم,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 66, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

68,مسكر,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 66, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

69,>ززز,

70,بيتا مسكر,

71,حومش مفتوح,

73,حومش فاتح,

74,بيت فوريك سالكة,

75,حوارة سالكة,

76,حوارة مفتوح,

77,حوارة مسكر,

78,حوارة مفتوح,

79,حوارة مسكر,

80,حوارة مفتوح,

81,دير شرف مسكر,

82,حاجر دير شرف مفتوح,

762586,في اشي عزهتره شباب؟,

762587,عزعتره,

762588,شو وضع عناب,

762590,صرة كيف وضعه ؟,

762591,عناب سالك,

762586,في اشي عزهتره شباب؟,

762587,عزعتره,

762588,شو وضع عناب,

762589,صباح الخير,

762590,صرة كيف وضعه ؟,

762591,عناب سالك,

762592,في جيش واقفين؟,

762593,على عناب,

762594,,

762595,زعترة سالك,

762596,"شباب شو وضع اريحا نابلس 
في شرطة اشي ؟",

762597,حوارة عليه اشي,

762598,طريق طولكرم جنين حوميش  حيتسكر بكرة ؟,

762599,اه,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762598, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762600,شباب ششو وضع شافي شمرون للخارج,

762601,اي ساعه ؟,

762602,وضع حوارة,

762603,؟؟,

762604,ع الثنتين كان سالك,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762602, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762605,ان شاء الله خير,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762604, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': 762602}"

762606,يسعد صباحكم شباب,

762610,حواره للخارج كيف؟ ؟؟؟؟,

762611,كيف حواره يا شباب,

762612,او اتمار,

762613,شباب حاجز حوارة سالك,

762614,اتمار لا عليها حجز,

762615,شو وضع صره شباب,

762616,الجلمة شباب شو وضعها,

762617,مشكور ابو وائل,

762618,شاي كيف شافي شمرون ودير شرف,

762619,حواره عليه شوية ازمه,

762620,صره كيف وصعها شباب,

762622,لو سمحتوا,

762623,شباب شو وضع حواره,

762624,شباب شباب,

762625,حول,

762626,كويسه  حواره سالكه,

762627,صره ازمة,

762628,حاجز صرة عليه ازمه,

762629,حواره سالك,

762630,عناب شباب,

762631,بس في جيش بعنبتا,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762630, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762632,"اسعد الله صباحكم بكل خير 
شو وضح حاجز حواره ؟",

762633,ديرشرف ازمه خانقه للي رايح على طولكرم,

762634,يسعد صباحكم شو وضع حواره,

762635,حواره في ازمه,

762636,حواره سلكه شباب هسا مرقنا,

762637,شباب كيف صره,

762638,صباحكم ورد شو وضع دير شرف راحت الازمة؟,

762639,بعدها,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762638, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762640,لا سالكه يمكن لأنك مرت عن الحاجز اجي دورك,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762636, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762641,حواره ازمه وتفتيش,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762640, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': 762636}"

762642,,

762643,حواره في ف ازمه بحدود عشرين سياره قدامه,

762644,صره شو وضعها,

762645,بالسلامه الجميع انا بعرف اخي بس انا بعلق على واحد نزل سالكه وانا واقف,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762642, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762646,صؤه يا اخوان,

762647,صره,

762648,,

762649,صباح الخير شو وضع حوارة للي طالع ن نابلس,

762650,في أزمة حوره,

762651,بس ماشي الوضع خفيف,

762652,٠كيفك حوارة يشباب,

762701,شكرآ,

762702,عفواً,

762703,شو وضع الحمرا يا شباب,

762704,بلشوا سيارة سيارة,

762705,صباح الخير يا اخوان,

762707,سألت ما حدا جاوبني عن الحمرا اخوي,

762708,يعني حوارة بمشو؟؟,

762709,بلشو يمشو عن حوارة؟؟؟,

762710,شو وضع حواره حاليا,

762818,اشارات بيت ايل سالكة بكل الاتجاهات,

762819,وضع حواره يا شباب,

762820,"جماعه صباح الخير
كيف الطريق من رام الله لنابلس
في شرطه اسرائيليه؟",

762821,طلوع اشارة بيت ايل باتجاه دوار dco كثافة سير,

762822,كيف ترمسعيا,

762824,"Jooj [5907240765] أعاد توجيه منشور من قناة غير مصرح بها. 
العقوبة: مكتوم 🔇 حتى 05/06/2023 18:10.","{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762823, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762825,وضع حاجز حواره,

762826,كيف ترمسعيا,

762827,شو وضع ترمسعيا,

762828,Dco سالك,

762829,طريق السلامة للجميع,

762830,ترمسعيا ازمه,

762831,,

762832,ترمسعيا ؟؟,

762833,ازمه ترمسعيا,

762834,ترمسعيا حركة سير بطيئة .. ازمه غير مفهومة,

762835,يسعد صباحكم... شو وضع حاجز حوارة....,

762836,ترمسعيا ازمه,

762890,ترمسعيا ازمة خانقة,

762891,للرايح على رام الله؟,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762890, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"

762892,كيف طريق جنين,

762893,من عند يعبد,

762894,حوارة سالك حاليا,

762895,صباح الخير كيف دير شرف للداخل,

762896,دير شرف سالكة

762896,في اشي عطريق رام الله ؟,
762897,شكر,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762887, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': 762884}"
762898,كيف حومش وبرقة ؟ سالك؟,
762899,كيف ترمسعيا,
762947,طريق عزبه شوفه,
762948,صره سالك بالاتجاهين,
762949,,
762950,طريق جنين كيف,
762951,حوارة سالك ع الجهتين,
762952,زعترة سالكه؟  لو سمحت,
762953,بس ١٠ دقايق اوصلها,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762952, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"
762954,تمام,
762955,شباب يسعد صباحكم,
762956,شو وضع حاجز صره,
762957,حاجز بيت ايل كيف؟,
762958,حوارة سالك,
762959,سالك,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762956, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"
762960,كيف حاجز دير شرف,
762961,زعترة سالكة بس ازمة ماشية,
762962,شو وضع حومش,
762963,ودير شرف,
762964,صره كيف يا شباب,
762965,شكرا,"{'_': 'MessageReplyHeader', 'reply_to_msg_id': 762961, 'reply_to_scheduled': False, 'forum_topic': False, 'reply_to_peer_id': None, 'reply_to_top_id': None}"
762966,حواره سالك بالاتجاهين,
762967,كيف وضع طريق جنين نابلس,
762968,شباب شو وضع صره سالكه,
762969,حرميش برجع,
762970,طريق جنين,
762971,"يعطيكم العافية 
كيف طريق واد قانا",
762972,شوا وضع طريق من جنين ل دير شرف,
762973,دير شرف حاجز بس سالك,
762974,ضو وضع حوارة,
762975,شو,
762976,وشافي شومرون  كيف الطريق,
