full_text,حوارة,دير شرف,صرة,دوار سلمان,بيت فوريك,شافي شمرون,الحمرا,جيت,عراق بورين,يتسهار,الفندق,عين يبرود,المربعه,بيتا,بيت ايل,صره,عينابوس,عين سينا,قرني شمرون,عورتا,الطنيب,كدوميم ,العيزرية,حومش,زعترة,عوفرا,الكونتينر,عناتا,حزما,الكنتينر,قلنديا,جبع,تل,دي سي او,مفتوح,مغلق,ازمة,حذر
حوارة كيف والحاجز|||سالكة,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
تفتيش ع شافي شمرونللداخل ع نابلس,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
شباب قلنديا كيف|||أزمة سالكة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
شافي شمرون فتح ومرقو كل السيارات,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
حوارة سالك الان,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
حوار سالكه,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
كيف صره شباب؟؟|||سالك,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
شافي شمرون حاجز تفتيش,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
الكونتينر مسكر,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
حاجز حوارة سالك ونظيف,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
